filename,title,exposure_layer1,exposure_layer2,exposure_layer3,outcome_layer1,outcome_layer2,outcome_layer3,study_design,status
2018 - promoter methylation of pgc1a and pgc1b predicts cancer incidence in a veteran cohort.pdf,Promoter methylation of PGC1A and PGC1B predicts cancer incidence in a veteran cohort,biomarker,DNA methylation,methylation of PGC1A,disease,cancer,cancer incidence,cohort study,success
2018 - promoter methylation of pgc1a and pgc1b predicts cancer incidence in a veteran cohort.pdf,Promoter methylation of PGC1A and PGC1B predicts cancer incidence in a veteran cohort,biomarker,DNA methylation,methylation of PGC1B,disease,cancer,cancer incidence,cohort study,success
2018 - promoter methylation of pgc1a and pgc1b predicts cancer incidence in a veteran cohort.pdf,Promoter methylation of PGC1A and PGC1B predicts cancer incidence in a veteran cohort,biomarker,telomere length,leukocyte telomere length,disease,cancer,cancer incidence,cohort study,success
2018 - promoter methylation of pgc1a and pgc1b predicts cancer incidence in a veteran cohort.pdf,Promoter methylation of PGC1A and PGC1B predicts cancer incidence in a veteran cohort,biomarker,mitochondrial function,mitochondrial DNA abundance,disease,cancer,cancer incidence,cohort study,success
2018 - promoter methylation of pgc1a and pgc1b predicts cancer incidence in a veteran cohort.pdf,Promoter methylation of PGC1A and PGC1B predicts cancer incidence in a veteran cohort,biomarker,mitochondrial function,mitochondrial 8-OHdG lesions,disease,cancer,cancer incidence,cohort study,success
"2016 - quantile regression analysis of the distributional effects of air pollution on blood pressure, heart rate variability,.pdf","Quantile Regression Analysis of the Distributional Effects of Air Pollution on Blood Pressure, Heart Rate Variability, Blood Lipids, and Biomarkers of Inflammation in Elderly American Men: The Normative Aging Study",chemical,air pollution,28-day averaged PM2.5 mass,biomarker,blood pressure,systolic blood pressure,longitudinal cohort study,success
"2016 - quantile regression analysis of the distributional effects of air pollution on blood pressure, heart rate variability,.pdf","Quantile Regression Analysis of the Distributional Effects of Air Pollution on Blood Pressure, Heart Rate Variability, Blood Lipids, and Biomarkers of Inflammation in Elderly American Men: The Normative Aging Study",chemical,air pollution,28-day averaged PM2.5 mass,biomarker,blood pressure,diastolic blood pressure,longitudinal cohort study,success
"2016 - quantile regression analysis of the distributional effects of air pollution on blood pressure, heart rate variability,.pdf","Quantile Regression Analysis of the Distributional Effects of Air Pollution on Blood Pressure, Heart Rate Variability, Blood Lipids, and Biomarkers of Inflammation in Elderly American Men: The Normative Aging Study",chemical,air pollution,28-day averaged PM2.5 mass,biomarker,heart rate variability,standard deviation of normal-to-normal intervals (SDNN),longitudinal cohort study,success
"2016 - quantile regression analysis of the distributional effects of air pollution on blood pressure, heart rate variability,.pdf","Quantile Regression Analysis of the Distributional Effects of Air Pollution on Blood Pressure, Heart Rate Variability, Blood Lipids, and Biomarkers of Inflammation in Elderly American Men: The Normative Aging Study",chemical,air pollution,28-day averaged PM2.5 mass,biomarker,heart rate variability,logarithm of the LF:HF ratio,longitudinal cohort study,success
"2016 - quantile regression analysis of the distributional effects of air pollution on blood pressure, heart rate variability,.pdf","Quantile Regression Analysis of the Distributional Effects of Air Pollution on Blood Pressure, Heart Rate Variability, Blood Lipids, and Biomarkers of Inflammation in Elderly American Men: The Normative Aging Study",chemical,air pollution,28-day averaged PM2.5 mass,biomarker,repolarization,corrected QT interval,longitudinal cohort study,success
"2016 - quantile regression analysis of the distributional effects of air pollution on blood pressure, heart rate variability,.pdf","Quantile Regression Analysis of the Distributional Effects of Air Pollution on Blood Pressure, Heart Rate Variability, Blood Lipids, and Biomarkers of Inflammation in Elderly American Men: The Normative Aging Study",chemical,air pollution,28-day averaged PM2.5 mass,biomarker,blood lipids,low-density lipoprotein (LDL) cholesterol,longitudinal cohort study,success
"2016 - quantile regression analysis of the distributional effects of air pollution on blood pressure, heart rate variability,.pdf","Quantile Regression Analysis of the Distributional Effects of Air Pollution on Blood Pressure, Heart Rate Variability, Blood Lipids, and Biomarkers of Inflammation in Elderly American Men: The Normative Aging Study",chemical,air pollution,28-day averaged PM2.5 mass,biomarker,blood lipids,high-density lipoprotein (HDL) cholesterol,longitudinal cohort study,success
"2016 - quantile regression analysis of the distributional effects of air pollution on blood pressure, heart rate variability,.pdf","Quantile Regression Analysis of the Distributional Effects of Air Pollution on Blood Pressure, Heart Rate Variability, Blood Lipids, and Biomarkers of Inflammation in Elderly American Men: The Normative Aging Study",chemical,air pollution,28-day averaged PM2.5 mass,biomarker,blood lipids,triglycerides,longitudinal cohort study,success
"2016 - quantile regression analysis of the distributional effects of air pollution on blood pressure, heart rate variability,.pdf","Quantile Regression Analysis of the Distributional Effects of Air Pollution on Blood Pressure, Heart Rate Variability, Blood Lipids, and Biomarkers of Inflammation in Elderly American Men: The Normative Aging Study",chemical,air pollution,28-day averaged PM2.5 mass,biomarker,inflammation,C-reactive protein,longitudinal cohort study,success
"2016 - quantile regression analysis of the distributional effects of air pollution on blood pressure, heart rate variability,.pdf","Quantile Regression Analysis of the Distributional Effects of Air Pollution on Blood Pressure, Heart Rate Variability, Blood Lipids, and Biomarkers of Inflammation in Elderly American Men: The Normative Aging Study",chemical,air pollution,28-day averaged PM2.5 mass,biomarker,inflammation,intercellular adhesion molecule-1 (ICAM-1),longitudinal cohort study,success
