PMID,Title,L1_Exact,L1_Fuzzy,L1_Strategies,L1_Unmatched,L1_Precision,L1_Recall,L1_F1,L2_Exact,L2_Fuzzy,L2_Strategies,L2_Unmatched,L2_Precision,L2_Recall,L2_F1,L3_Exact,L3_Fuzzy,L3_Strategies,L3_Unmatched,L3_Precision,L3_Recall,L3_F1,Semantic_Reasoning
23508416.0,Association between blood pressure and DNA methylation of retrotransposons and pro-inflammatory genes.,"biomarker, psychosocial, behavior",,,,,,,"DNAmethylation, psychosocial stressors",,,,,,,,,,,,,,"The exposures in this paper primarily fall under the categories of biomarkers, psychosocial factors, and behaviors. Specific exposures such as DNA methylation and psychosocial stressors are mentioned in the mid-level layer."
27453791.0,Long-term ambient particle exposures and blood DNA methylation age: findings from the VA normative aging study.,"chemical, biomarker",,,,,,,air pollution,,,,,,,,long-term PM2.5 elemental components (0.88),partial_word,,,,,"The exposure terms in the paper fall under the chemical and biomarker categories, specifically related to long-term ambient particle exposures which are classified as air pollution."
34171372.0,Metabolomic signatures of the short-term exposure to air pollution and temperature.,"chemical, physical",,,,,,,"air pollution, temperature",,,,,,,"short-term PM2.5 mass, short-term PM2.5 elemental components, short-term black carbon",,,,,,,"The exposures mentioned in the paper fall under the chemical and physical categories, specifically related to air pollution and temperature. The specific exposures identified are short-term PM2.5 mass, short-term PM2.5 elemental components, and short-term black carbon."
34171372.0,Metabolomic signatures of the short-term exposure to air pollution and temperature.,"chemical, physical",,,,,,,"air pollution, temperature",,,,,,,"short-term PM2.5 mass, short-term PM2.5 elemental components, short-term black carbon",,,,,,,"The exposures in this paper include both chemical (air pollution) and physical (temperature) factors, with specific focus on short-term PM2.5 mass, short-term PM2.5 elemental components, and short-term black carbon."
30343628.0,Metastable DNA methylation sites associated with longitudinal lung function decline and aging in humans: an epigenome-wide study in the NAS and KORA cohorts.,"chemical, biomarker, psychosocial, behavior",,,,,,,air pollution,,,physical,,,,leukocyte telomere length,"mitochondrial DNA copy number (0.88), mitochondrial DNA copy number (0.95)","partial_word, contains",,,,,"The exposures in this paper cover a range of categories including chemical, biomarker, psychosocial, and behavior. Specifically, the exposures relate to air pollution and physical factors, with a focus on DNAmethylation, mitochondrial DNA, and leukocyte telomere length."
30059941.0,"Iron-processing genotypes, nutrient intakes, and cadmium levels in the Normative Aging Study: Evidence of sensitive subpopulations in cadmium risk assessment.","chemical, behavior",,,,,,,air pollution,toenail metals (0.95),contains,,,,,,"urinary cadmium (0.88), manganese intake (0.88), vitamin E intake (0.88)","partial_word, partial_word, partial_word",,,,,"The exposures in this paper include chemical exposures such as cadmium levels and nutrient intakes, as well as behavioral factors related to iron-processing genotypes."
34537201.0,Associations between solar and geomagnetic activity and peripheral white blood cells in the Normative Aging Study.,physical,,,,,,,solar and geomagnetic activity,,,,,,,"interplanetary magnetic field, sunspot number",,,,,,,"The exposures in this paper are related to solar and geomagnetic activity, which fall under the physical category in Layer 1. The specific exposures mentioned are the interplanetary magnetic field and sunspot number in Layer 3."
31766133.0,Effect of Dietary Sodium and Potassium Intake on the Mobilization of Bone Lead among Middle-Aged and Older Men: The Veterans Affairs Normative Aging Study.,"chemical, behavior",,,,,,,air pollution,,,,,,,,"blood lead (0.74), prudent diet  (0.88), prudent diet  (0.88)","fuzzy_standard, partial_word, partial_word",,,,,"The exposures in this paper fall under the chemical and behavior categories. Specifically, the chemical exposure is related to bone lead, while the behavior exposure is related to dietary sodium and potassium intake."
30248605.0,Road proximity influences indoor exposures to ambient fine particle mass and components.,physical,,,,,,,air pollution,,,,,,,"short-term PM2.5 mass, short-term PM2.5 elemental components, short-term black carbon",,,,,,,"The exposures in this paper primarily fall under the physical category, specifically related to air pollution which includes fine particle mass and components."
32791250.0,Metabolomic signatures of lead exposure in the VA Normative Aging Study.,"chemical, biomarker",,,,,,,"metabolites, blood lead, toenail metals",,,,,,,"patella lead, tibia lead, toenail lead, blood lead",,,,,,,"The exposures in this paper primarily focus on chemical exposures related to lead, which are classified under the broad category of 'chemical' and more specifically as 'metabolites', 'blood lead', and 'toenail metals'. The specific types of lead exposures include 'patella lead', 'tibia lead', 'toena"
